home_team,away_team,home_rating,away_rating,home_recent_form,away_recent_form,home_goals_avg,away_goals_avg,home_goals,away_goals,result
Curacao,Bermuda,68,47,4.48,4.54,2.54,1.71,3,0,home_win
Grenada,Bahamas,52,40,0.67,-2.47,1.3,1.71,1,0,home_win
Curacao,Jamaica,68,78,-1.02,-2.56,2.66,2.84,0,0,draw
Cuba,Puerto Rico,62,44,-3.84,-0.88,2.25,1.53,3,0,home_win
Martinique,Grenada,59,52,4.34,1.36,2.19,1.5,4,0,home_win
Guadeloupe,Bermuda,60,47,2.08,-1.47,1.98,1.55,3,0,home_win
Grenada,Belize,52,45,2.26,2.44,1.56,1.43,1,0,home_win
Grenada,Saint Kitts and Nevis,52,51,-2.21,1.14,1.19,1.89,4,2,home_win
Haiti,Martinique,69,59,0.28,-0.23,2.35,1.48,2,0,home_win
Guadeloupe,Barbados,60,48,3.02,-4.37,1.68,0.64,1,0,home_win
Puerto Rico,Saint Lucia,44,46,3.02,1.77,1.8,1.32,0,0,draw
Jamaica,Belize,78,45,2.65,-2.48,2.14,0.97,5,0,home_win
Curacao,Antigua and Barbuda,68,49,-2.17,0.13,1.98,1.3,2,2,draw
Guyana,Trinidad and Tobago,55,71,2.07,0.21,1.61,2.74,0,2,away_win
Grenada,Haiti,52,69,-1.34,-1.57,1.09,2.13,0,1,away_win
Trinidad and Tobago,Dominica,71,39,1.31,-1.9,1.8,1.72,1,0,home_win
Guadeloupe,Belize,60,45,1.06,-0.46,1.72,1.4,3,0,home_win
Haiti,Guyana,69,55,-0.12,-0.13,3.04,1.29,2,0,home_win
Antigua and Barbuda,Suriname,49,61,0.45,3.94,2.64,2.17,2,3,away_win
Suriname,Saint Kitts and Nevis,61,51,2.98,2.53,1.64,1.03,1,1,draw
Saint Lucia,Dominican Republic,46,57,0.73,3.27,1.24,2.03,1,2,away_win
Antigua and Barbuda,Curacao,49,68,0.94,3.84,1.28,2.19,0,2,away_win
Suriname,Martinique,61,59,0.64,1.39,1.95,1.95,2,1,home_win
Trinidad and Tobago,Guadeloupe,71,60,4.13,-5.57,2.41,1.81,2,0,home_win
Cayman Islands,Bermuda,33,47,-2.36,-4.47,1.39,1.82,3,0,home_win
Bahamas,Belize,40,45,-2.6,-2.57,2.0,2.37,1,1,draw
Cuba,Dominica,62,39,-2.32,2.59,1.97,0.96,3,1,home_win
Haiti,Belize,69,45,0.64,-3.07,1.98,1.28,2,0,home_win
Martinique,Jamaica,59,78,0.56,4.63,2.0,2.91,1,1,draw
Saint Lucia,Suriname,46,61,-4.24,1.12,1.48,1.91,0,2,away_win
Guyana,Jamaica,55,78,0.63,3.31,2.73,2.8,1,2,away_win
Puerto Rico,Curacao,44,68,-2.27,3.98,1.48,1.8,0,4,away_win
Jamaica,Grenada,78,52,-1.25,1.19,2.2,1.36,4,0,home_win
Guyana,Belize,55,45,1.28,0.97,1.89,1.66,1,1,draw
Belize,Dominica,45,39,-9.18,-3.98,1.23,1.02,1,1,draw
Cuba,Bermuda,62,47,5.75,4.1,2.41,1.52,1,0,home_win
Saint Vincent and the Grenadines,Montserrat,45,30,-2.81,-2.53,1.32,0.74,5,2,home_win
Cayman Islands,Trinidad and Tobago,33,71,-3.95,-2.2,0.93,1.85,0,1,away_win
Jamaica,Bahamas,78,40,-4.44,-2.84,2.94,1.61,3,0,home_win
Saint Lucia,Jamaica,46,78,-7.67,2.38,1.3,2.36,0,1,away_win
Guyana,Belize,55,45,6.07,-0.38,1.38,1.67,2,0,home_win
Saint Kitts and Nevis,Bermuda,51,47,-2.99,-8.35,1.99,2.03,1,0,home_win
Saint Kitts and Nevis,Jamaica,51,78,-0.31,2.32,1.46,2.29,1,5,away_win
Saint Lucia,Aruba,46,43,2.13,0.71,0.5,1.59,1,1,draw
Aruba,Barbados,43,48,2.12,-0.68,1.32,1.12,0,3,away_win
Puerto Rico,Trinidad and Tobago,44,71,1.03,-2.77,1.14,2.72,0,0,draw
Saint Vincent and the Grenadines,Guadeloupe,45,60,0.68,2.12,1.97,1.87,2,2,draw
Bahamas,Jamaica,40,78,-1.93,-2.31,0.66,2.62,0,2,away_win
Puerto Rico,Jamaica,44,78,2.03,2.08,1.34,2.23,0,1,away_win
Antigua and Barbuda,Suriname,49,61,0.87,-2.23,1.78,2.38,0,1,away_win
Haiti,Bermuda,69,47,-1.48,4.66,2.54,1.6,1,1,draw
Saint Lucia,Montserrat,46,30,1.16,3.02,0.92,0.45,2,0,home_win
Puerto Rico,Martinique,44,59,0.13,2.96,1.13,1.9,0,2,away_win
Saint Kitts and Nevis,Bahamas,51,40,4.05,4.28,2.37,1.04,1,0,home_win
Saint Kitts and Nevis,Suriname,51,61,3.03,-1.41,2.0,2.15,2,0,home_win
Puerto Rico,Guyana,44,55,4.78,-2.74,0.65,2.17,2,3,away_win
Montserrat,Dominica,30,39,1.66,0.85,0.36,1.74,3,0,home_win
Martinique,Trinidad and Tobago,59,71,-3.05,-2.38,2.19,2.19,1,2,away_win
Bahamas,Saint Lucia,40,46,-0.79,0.56,0.97,0.95,2,3,away_win
Saint Kitts and Nevis,Trinidad and Tobago,51,71,-6.83,-2.91,1.9,1.69,1,1,draw
Martinique,Suriname,59,61,2.94,2.33,2.58,1.86,0,2,away_win
Saint Lucia,Dominica,46,39,-0.85,-0.53,1.62,1.0,2,1,home_win
Suriname,Cuba,61,62,2.04,-0.51,3.01,1.64,1,0,home_win
Montserrat,Antigua and Barbuda,30,49,3.45,-3.0,1.31,1.73,0,1,away_win
Guyana,Saint Vincent and the Grenadines,55,45,-0.79,-1.86,1.63,1.01,2,0,home_win
Haiti,Grenada,69,52,0.96,1.46,1.78,0.81,1,0,home_win
Dominica,Guyana,39,55,-0.54,-4.21,1.24,2.24,1,2,away_win
Antigua and Barbuda,Belize,49,45,1.11,3.18,1.68,1.44,1,0,home_win
Grenada,Puerto Rico,52,44,0.06,1.82,1.44,1.73,4,0,home_win
Cayman Islands,Montserrat,33,30,-0.98,-3.31,1.53,0.89,2,1,home_win
Guyana,Dominica,55,39,-0.03,4.49,1.47,1.11,0,0,draw
Aruba,Martinique,43,59,-5.35,-3.21,1.95,2.01,1,3,away_win
Jamaica,Curacao,78,68,-4.92,-7.72,2.56,2.44,3,1,home_win
Antigua and Barbuda,Guadeloupe,49,60,-5.63,2.95,1.7,1.93,1,2,away_win
Suriname,Montserrat,61,30,4.56,-3.72,1.83,0.97,1,1,draw
Dominica,Suriname,39,61,3.48,5.19,1.08,2.58,1,2,away_win
Grenada,Saint Kitts and Nevis,52,51,2.09,-3.04,2.05,1.27,1,0,home_win
Dominican Republic,Puerto Rico,57,44,-6.22,-5.27,1.84,1.04,2,0,home_win
Trinidad and Tobago,Guyana,71,55,-2.37,1.48,1.7,1.47,1,1,draw
Martinique,Montserrat,59,30,-0.17,4.05,1.93,1.33,3,0,home_win
Guadeloupe,Montserrat,60,30,1.52,-2.51,1.43,0.39,6,0,home_win
Aruba,Saint Kitts and Nevis,43,51,-0.25,0.25,1.23,2.16,2,1,home_win
Bermuda,Curacao,47,68,6.99,-3.22,1.43,2.43,1,3,away_win
Trinidad and Tobago,Bahamas,71,40,5.53,1.18,2.72,1.04,3,0,home_win
Guyana,Bermuda,55,47,1.38,-2.51,1.8,1.56,2,1,home_win
Guyana,Barbados,55,48,-1.44,-2.52,2.55,1.42,0,0,draw
Guadeloupe,Puerto Rico,60,44,-1.5,-0.74,1.81,0.88,0,0,draw
Saint Kitts and Nevis,Saint Vincent and the Grenadines,51,45,-1.82,2.1,1.48,1.2,3,0,home_win
Suriname,Dominican Republic,61,57,-1.83,1.14,2.14,1.98,2,3,away_win
Barbados,Puerto Rico,48,44,3.47,-1.39,1.1,1.5,2,0,home_win
Jamaica,Haiti,78,69,0.02,2.31,2.69,2.43,2,5,away_win
Trinidad and Tobago,Barbados,71,48,-5.72,-5.01,2.46,1.08,3,0,home_win
Trinidad and Tobago,Cuba,71,62,1.88,2.65,2.67,1.53,2,0,home_win
Bahamas,Grenada,40,52,0.34,3.06,1.6,1.24,2,3,away_win
Curacao,Bermuda,68,47,-1.52,1.65,2.1,1.5,4,1,home_win
Curacao,Montserrat,68,30,-0.39,-1.08,2.65,0.64,3,0,home_win
Cuba,Saint Kitts and Nevis,62,51,-4.94,-1.08,1.57,0.94,2,0,home_win
Dominican Republic,Barbados,57,48,0.23,-1.53,2.16,2.3,1,1,draw
Saint Kitts and Nevis,Saint Lucia,51,46,-1.31,-0.07,1.75,1.45,2,3,away_win
Guadeloupe,Cuba,60,62,2.08,-3.98,1.54,1.9,0,0,draw
Curacao,Puerto Rico,68,44,5.6,-2.6,2.34,1.88,2,0,home_win
Bermuda,Saint Vincent and the Grenadines,47,45,3.01,-3.13,1.51,2.22,0,2,away_win
Grenada,Bermuda,52,47,4.61,-2.8,1.2,2.02,1,0,home_win
Saint Kitts and Nevis,Bermuda,51,47,-0.26,0.41,2.45,1.88,3,2,home_win
Haiti,Grenada,69,52,-2.32,-2.23,2.96,1.52,2,2,draw
Saint Vincent and the Grenadines,Aruba,45,43,1.05,3.78,2.02,1.69,5,1,home_win
Saint Lucia,Antigua and Barbuda,46,49,-4.73,2.44,1.98,1.76,2,3,away_win
Saint Lucia,Curacao,46,68,1.38,-2.5,1.61,2.67,2,2,draw
Barbados,Grenada,48,52,-0.28,4.95,1.43,2.13,0,0,draw
Cayman Islands,Curacao,33,68,0.09,5.31,0.86,1.13,1,2,away_win
Guadeloupe,Suriname,60,61,2.01,-1.76,1.98,1.82,2,3,away_win
Curacao,Guadeloupe,68,60,0.45,-5.9,1.91,1.91,0,1,away_win
Trinidad and Tobago,Suriname,71,61,-2.31,3.22,1.77,1.83,2,1,home_win
Montserrat,Bermuda,30,47,0.05,-1.6,1.11,0.98,0,0,draw
Montserrat,Trinidad and Tobago,30,71,-2.12,2.68,0.58,2.02,0,2,away_win
Montserrat,Dominica,30,39,-6.45,-1.96,1.2,1.57,0,0,draw
Cayman Islands,Haiti,33,69,-3.48,-2.52,0.46,1.94,1,2,away_win
Dominica,Barbados,39,48,4.75,-2.85,1.6,1.26,0,1,away_win
Guyana,Barbados,55,48,1.51,-0.67,2.96,2.35,2,1,home_win
Suriname,Montserrat,61,30,-5.02,-3.22,2.65,1.49,2,0,home_win
Cayman Islands,Grenada,33,52,0.17,-1.4,0.9,2.04,1,2,away_win
Saint Vincent and the Grenadines,Trinidad and Tobago,45,71,-5.1,-2.02,0.96,2.45,0,2,away_win
Puerto Rico,Suriname,44,61,-0.06,-2.96,1.58,2.58,2,1,home_win
Suriname,Aruba,61,43,1.4,-0.21,2.16,1.79,5,1,home_win
Dominica,Trinidad and Tobago,39,71,0.51,-2.07,1.43,2.02,1,2,away_win
Haiti,Belize,69,45,-1.46,3.87,1.77,1.75,0,0,draw
Guadeloupe,Saint Vincent and the Grenadines,60,45,3.12,1.19,2.02,0.53,2,0,home_win
Cayman Islands,Trinidad and Tobago,33,71,-0.11,-0.81,0.47,2.28,0,5,away_win
Cayman Islands,Bermuda,33,47,1.01,2.62,0.95,1.4,0,2,away_win
Jamaica,Saint Lucia,78,46,-0.5,-4.04,3.11,1.28,5,0,home_win
Suriname,Bermuda,61,47,-4.21,-5.08,2.3,0.93,4,1,home_win
Grenada,Cuba,52,62,0.24,1.14,1.28,1.65,1,3,away_win
Saint Vincent and the Grenadines,Trinidad and Tobago,45,71,-0.13,1.11,0.91,2.3,0,3,away_win
Cayman Islands,Barbados,33,48,-1.78,-6.58,0.62,1.46,1,3,away_win
Aruba,Martinique,43,59,-1.73,2.56,1.98,1.47,2,0,home_win
Antigua and Barbuda,Suriname,49,61,-2.73,-4.46,1.75,1.51,0,2,away_win
Dominica,Antigua and Barbuda,39,49,0.57,-1.45,0.96,1.78,2,1,home_win
Dominican Republic,Suriname,57,61,3.32,-1.48,2.6,1.52,1,1,draw
Aruba,Guadeloupe,43,60,-0.32,3.04,2.42,2.29,2,3,away_win
Suriname,Saint Lucia,61,46,-1.8,-2.28,2.18,1.74,0,0,draw
Jamaica,Suriname,78,61,2.4,-1.03,2.56,2.75,2,1,home_win
Haiti,Guadeloupe,69,60,2.83,-2.7,2.02,1.14,3,0,home_win
Saint Lucia,Trinidad and Tobago,46,71,3.42,-0.44,1.36,2.81,1,3,away_win
Dominican Republic,Haiti,57,69,-3.4,-3.15,1.74,1.99,1,1,draw
Guadeloupe,Cuba,60,62,1.33,-5.66,1.72,1.45,2,3,away_win
Curacao,Cayman Islands,68,33,-2.31,-7.36,2.05,0.98,1,0,home_win
Antigua and Barbuda,Saint Kitts and Nevis,49,51,-3.01,5.59,1.84,1.63,3,1,home_win
Suriname,Cuba,61,62,-1.69,0.7,1.28,1.67,4,0,home_win
Montserrat,Barbados,30,48,1.26,2.13,1.7,0.92,1,3,away_win
Jamaica,Suriname,78,61,-2.07,1.26,2.29,1.6,2,2,draw
Cayman Islands,Antigua and Barbuda,33,49,-3.82,0.32,1.48,0.96,2,2,draw
Puerto Rico,Curacao,44,68,-3.18,-2.94,1.15,2.02,0,0,draw
Bermuda,Guyana,47,55,2.78,3.51,0.92,2.44,1,1,draw
Cayman Islands,Saint Kitts and Nevis,33,51,3.85,-2.01,0.84,1.58,2,1,home_win
Dominica,Bahamas,39,40,5.46,1.66,1.1,1.07,1,1,draw
Dominican Republic,Cuba,57,62,1.78,4.98,2.42,1.7,0,2,away_win
Saint Lucia,Suriname,46,61,-2.49,2.83,1.78,2.09,0,1,away_win
Grenada,Suriname,52,61,1.23,-4.03,1.98,2.26,1,2,away_win
Martinique,Montserrat,59,30,1.47,-2.4,1.35,1.47,1,0,home_win
Dominica,Aruba,39,43,0.82,-0.22,0.71,1.3,1,0,home_win
Barbados,Martinique,48,59,-3.99,0.04,1.76,1.74,1,0,home_win
Jamaica,Saint Vincent and the Grenadines,78,45,-1.55,-1.54,2.43,0.6,3,0,home_win
Martinique,Cuba,59,62,-2.56,3.96,2.25,2.41,1,0,home_win
Saint Lucia,Martinique,46,59,4.31,2.83,1.18,1.64,1,0,home_win
Guyana,Bermuda,55,47,1.85,1.93,1.48,1.06,0,0,draw
Montserrat,Curacao,30,68,2.32,1.27,1.56,2.25,0,2,away_win
Belize,Bahamas,45,40,-0.18,0.98,1.2,1.02,1,1,draw
Bermuda,Antigua and Barbuda,47,49,0.96,-2.91,1.13,1.54,0,2,away_win
Belize,Jamaica,45,78,2.47,-1.45,0.96,2.31,1,4,away_win
Martinique,Puerto Rico,59,44,-2.34,-1.22,2.06,2.47,2,0,home_win
Bermuda,Martinique,47,59,3.05,-0.15,2.04,1.76,1,2,away_win
Cuba,Dominican Republic,62,57,5.42,-2.7,1.83,1.76,1,3,away_win
Saint Vincent and the Grenadines,Martinique,45,59,3.68,2.82,1.76,1.68,1,2,away_win
Haiti,Dominican Republic,69,57,-4.51,-4.13,1.54,2.18,2,0,home_win
Guyana,Martinique,55,59,1.6,-0.06,1.35,1.4,1,3,away_win
Trinidad and Tobago,Cayman Islands,71,33,1.03,2.0,2.65,1.34,2,0,home_win
Dominican Republic,Trinidad and Tobago,57,71,-3.38,-1.97,2.11,2.8,0,1,away_win
Montserrat,Curacao,30,68,-6.41,5.76,1.08,2.32,0,0,draw
Jamaica,Bermuda,78,47,0.36,0.23,2.69,0.23,3,0,home_win
Saint Kitts and Nevis,Martinique,51,59,1.99,-2.72,2.01,2.31,1,1,draw
Dominican Republic,Belize,57,45,2.46,4.58,1.42,1.97,1,1,draw
Cayman Islands,Antigua and Barbuda,33,49,3.07,4.29,1.45,1.26,1,0,home_win
Haiti,Jamaica,69,78,1.58,1.35,1.91,3.05,3,1,home_win
Bermuda,Belize,47,45,-5.82,2.63,1.99,0.7,2,0,home_win
Bermuda,Cayman Islands,47,33,-3.38,-2.85,1.9,2.08,2,1,home_win
Cuba,Puerto Rico,62,44,6.84,1.43,2.49,1.73,1,0,home_win
Cayman Islands,Montserrat,33,30,3.77,1.36,1.11,1.05,1,0,home_win
Saint Vincent and the Grenadines,Saint Lucia,45,46,-5.45,-8.28,1.4,0.7,5,2,home_win
Cayman Islands,Saint Kitts and Nevis,33,51,6.17,-0.67,0.6,1.73,2,1,home_win
Saint Lucia,Curacao,46,68,2.1,2.89,1.44,1.91,1,1,draw
Bahamas,Haiti,40,69,-1.01,1.56,2.05,2.16,0,1,away_win
Curacao,Dominica,68,39,-2.16,-0.35,2.64,0.62,2,0,home_win
Dominican Republic,Montserrat,57,30,0.49,1.92,2.08,1.18,4,0,home_win
Grenada,Guyana,52,55,-3.23,0.14,2.02,2.2,5,0,home_win
Cuba,Montserrat,62,30,-3.17,0.15,2.17,1.18,5,0,home_win
Bermuda,Belize,47,45,1.45,4.16,1.55,1.3,2,1,home_win
Puerto Rico,Suriname,44,61,-4.39,-3.4,1.62,2.27,0,2,away_win
Barbados,Cuba,48,62,3.39,2.71,1.18,1.53,0,0,draw
Montserrat,Saint Vincent and the Grenadines,30,45,-4.8,-0.19,0.37,1.01,2,2,draw
Guyana,Guadeloupe,55,60,-1.06,-2.83,1.84,2.48,1,1,draw
Guyana,Barbados,55,48,-3.49,-2.96,2.2,1.33,3,0,home_win
Barbados,Martinique,48,59,-3.83,0.82,1.26,2.25,3,3,draw
Dominica,Guyana,39,55,-1.88,2.0,2.18,1.77,0,3,away_win
Aruba,Puerto Rico,43,44,-2.58,4.24,1.75,1.39,1,1,draw
Saint Lucia,Belize,46,45,2.41,-6.61,1.65,2.02,2,2,draw
Dominican Republic,Suriname,57,61,-0.19,0.24,1.36,1.79,1,2,away_win
Saint Kitts and Nevis,Saint Lucia,51,46,-5.74,-1.17,1.17,1.22,2,0,home_win
Puerto Rico,Antigua and Barbuda,44,49,1.92,-5.08,2.14,0.77,1,1,draw
Saint Vincent and the Grenadines,Haiti,45,69,1.59,-1.68,1.67,2.57,3,0,home_win
Guadeloupe,Jamaica,60,78,-2.22,-1.98,2.08,3.04,1,0,home_win
Guadeloupe,Aruba,60,43,4.2,4.96,2.35,1.16,1,0,home_win
Saint Lucia,Jamaica,46,78,-7.41,1.16,1.62,2.7,0,2,away_win
Bermuda,Grenada,47,52,-1.36,0.2,1.79,1.21,0,1,away_win
Dominican Republic,Saint Lucia,57,46,-5.33,1.31,2.36,1.25,0,3,away_win
Aruba,Montserrat,43,30,-2.22,-1.68,1.47,0.34,1,1,draw
Puerto Rico,Barbados,44,48,0.16,-1.75,1.48,0.48,0,1,away_win
Saint Kitts and Nevis,Guyana,51,55,-6.13,2.38,2.16,1.5,0,1,away_win
Saint Vincent and the Grenadines,Antigua and Barbuda,45,49,-2.57,0.31,1.43,1.72,2,0,home_win
Cuba,Trinidad and Tobago,62,71,-6.46,2.79,1.59,1.97,1,4,away_win
Suriname,Saint Lucia,61,46,5.81,-3.87,2.14,1.41,6,0,home_win
Bermuda,Dominican Republic,47,57,-0.55,0.22,2.01,2.03,1,1,draw
Montserrat,Trinidad and Tobago,30,71,-5.06,2.44,1.43,2.06,1,5,away_win
Dominican Republic,Suriname,57,61,-0.22,-2.37,2.13,3.05,2,0,home_win
Saint Kitts and Nevis,Bermuda,51,47,-2.97,-0.62,2.49,0.85,1,1,draw
