date,price,volume
2023-02-08,38.98,10184668
2023-02-09,39.88,15958910
2023-02-10,39.41,9543900
2023-02-13,39.83,8113654
2023-02-14,40.78,16565462
2023-02-15,39.79,16838891
2023-02-16,40.32,9926066
2023-02-17,40.51,4855654
2023-02-20,40.65,3998094
2023-02-21,40.06,11453713
2023-02-22,40.25,4685296
2023-02-23,42.16,30420589
2023-02-24,43.17,16446784
2023-02-27,40.64,38907436
2023-02-28,40.6,2990858
2023-03-01,41.99,22955491
2023-03-02,39.45,40074579
2023-03-03,40.2,13429627
2023-03-06,38.59,26943812
2023-03-07,36.57,35483958
2023-03-08,36.62,3158768
2023-03-09,36.44,5139430
2023-03-10,36.17,6066717
2023-03-13,36.51,7727317
2023-03-14,38.05,27227759
2023-03-15,38.96,16216485
2023-03-16,40.37,23840870
2023-03-17,41.07,12593409
2023-03-20,41.11,2758685
2023-03-21,42.82,27498008
2023-03-22,43.29,8801166
2023-03-23,41.53,26960984
2023-03-24,42.95,22621991
2023-03-27,42.48,8930574
2023-03-28,43.29,13499758
2023-03-29,43.94,10214353
2023-03-30,41.9,30951910
2023-03-31,43.43,23974388
2023-04-03,44.34,15428114
2023-04-04,46.42,29765296
2023-04-05,48.74,31840864
2023-04-06,47.61,15945323
2023-04-07,46.74,13400249
2023-04-10,47.21,8562303
2023-04-11,49.24,28024119
2023-04-12,48.34,13549123
2023-04-13,47.0,19522131
2023-04-14,45.14,27508553
2023-04-17,46.13,15339991
2023-04-18,45.29,13017193
2023-04-19,46.88,23707168
2023-04-20,45.43,21701871
2023-04-21,47.17,25432643
2023-04-24,50.01,37710947
2023-04-25,51.66,22424150
2023-04-26,54.14,30655935
2023-04-27,55.9,21551940
2023-04-28,59.13,36941591
2023-05-01,57.17,23044695
2023-05-02,56.17,12857808
2023-05-03,54.95,15614670
2023-05-04,55.6,9538272
2023-05-05,57.62,23909842
2023-05-08,59.03,16401242
2023-05-09,60.43,16302134
2023-05-10,60.77,5619542
2023-05-11,63.15,26356864
2023-05-12,66.6,34937574
2023-05-15,66.64,2024357
2023-05-16,66.26,5278220
2023-05-17,64.05,22973671
2023-05-18,62.03,21814037
2023-05-19,61.05,11509980
2023-05-22,61.99,11404708
2023-05-23,64.4,25910395
2023-05-24,63.87,7134188
2023-05-25,62.63,14300658
2023-05-26,64.23,17162262
2023-05-29,62.92,14508923
2023-05-30,63.08,3834912
2023-05-31,63.88,9940478
2023-06-01,65.64,18845175
2023-06-02,67.42,18401262
2023-06-05,67.34,2946025
2023-06-06,65.51,18899312
2023-06-07,66.49,11216742
2023-06-08,63.58,29217224
2023-06-09,62.6,11343359
2023-06-12,64.89,24055417
2023-06-13,60.9,41179863
2023-06-14,60.12,9448498
2023-06-15,59.85,4670557
2023-06-16,60.23,6197640
2023-06-19,57.64,28742265
2023-06-20,56.37,15392012
2023-06-21,57.72,16635704
2023-06-22,60.63,32747691
2023-06-23,63.13,26653173
2023-06-26,63.21,2577528
2023-06-27,63.57,6100411
2023-06-28,64.85,14792733
2023-06-29,68.52,35443158
2023-06-30,68.34,3115515
2023-07-03,71.64,31252658
2023-07-04,71.75,2932713
2023-07-05,71.75,1953016
2023-07-06,70.32,14203537
2023-07-07,70.08,4197721
2023-07-10,71.05,10801820
2023-07-11,69.61,14781360
2023-07-12,71.93,22282637
2023-07-13,74.98,27964075
2023-07-14,77.51,22657398
2023-07-17,77.61,2945701
2023-07-18,76.21,12778561
2023-07-19,77.02,7922905
2023-07-20,74.01,26652301
2023-07-21,78.55,39055447
2023-07-24,76.22,21140634
2023-07-25,76.42,3707574
2023-07-26,76.76,5014430
2023-07-27,78.88,18363282
2023-07-28,80.35,13878611
2023-07-31,81.66,11344829
2023-08-01,80.24,12614028
2023-08-02,79.83,5316980
2023-08-03,79.0,8152766
2023-08-04,78.23,7784900
2023-08-07,75.75,21643524
2023-08-08,74.41,13444232
2023-08-09,78.0,30599235
2023-08-10,80.05,18285213
2023-08-11,80.24,3910578
2023-08-14,80.19,2890154
2023-08-15,79.81,5041778
2023-08-16,81.63,15376027
2023-08-17,79.25,20393517
2023-08-18,77.5,15538936
2023-08-21,74.82,23811913
2023-08-22,78.98,34836888
2023-08-23,76.75,19574425
2023-08-24,75.95,8261371
2023-08-25,78.05,18783542
2023-08-28,81.02,24370199
2023-08-29,82.43,12747954
2023-08-30,80.3,17791813
2023-08-31,80.74,5295385
2023-09-01,79.38,12764101
2023-09-04,76.66,23781367
2023-09-05,75.34,12631618
2023-09-06,73.32,18655559
2023-09-07,75.04,15280975
2023-09-08,80.1,41727116
2023-09-11,76.35,31813432
2023-09-12,78.95,22219985
2023-09-13,77.38,14828861
2023-09-14,79.2,16249853
2023-09-15,80.85,15158343
2023-09-18,82.38,13049990
2023-09-19,84.07,14578645
2023-09-20,83.28,7435968
2023-09-21,80.2,25451902
2023-09-22,81.22,9464478
2023-09-25,79.32,16712823
2023-09-26,75.73,30839744
2023-09-27,75.57,3410316
2023-09-28,74.8,8407025
2023-09-29,76.6,16462118
2023-10-02,78.14,14538799
2023-10-03,76.8,12920280
2023-10-04,76.33,5778348
2023-10-05,76.43,2945063
2023-10-06,74.98,13923129
2023-10-09,73.54,14330919
2023-10-10,75.05,14412230
2023-10-11,75.59,6125158
2023-10-12,75.78,3385552
2023-10-13,76.48,7450687
2023-10-16,76.33,3094664
2023-10-17,76.77,5422239
2023-10-18,74.94,16954098
2023-10-19,73.58,13499334
2023-10-20,72.67,9755412
2023-10-23,71.07,15256420
2023-10-24,69.69,14498282
2023-10-25,67.22,24432410
2023-10-26,64.55,26658820
2023-10-27,61.52,31229102
2023-10-30,61.76,4406697
2023-10-31,65.65,39612141
2023-11-01,64.07,17095332
2023-11-02,67.36,33229660
2023-11-03,66.06,13888091
2023-11-06,65.88,3458537
2023-11-07,71.03,48389791
2023-11-08,67.89,29586763
2023-11-09,67.92,2680885
2023-11-10,68.97,11746485
2023-11-13,65.82,30936500
2023-11-14,65.12,8150080
2023-11-15,65.49,5602914
2023-11-16,64.82,8137515
2023-11-17,66.15,14026950
2023-11-20,66.9,9314996
2023-11-21,65.71,13184599
2023-11-22,64.71,12035635
2023-11-23,62.4,24205048
2023-11-24,63.08,9327922
2023-11-27,62.23,10467190
2023-11-28,61.55,8614970
2023-11-29,64.1,27468012
2023-11-30,67.35,32164703
2023-12-01,67.33,2614438
2023-12-04,65.69,17519592
2023-12-05,65.67,1795061
2023-12-06,64.46,13379798
2023-12-07,62.11,25205493
2023-12-08,62.88,9810992
2023-12-11,60.48,26055544
2023-12-12,61.36,11053062
2023-12-13,62.99,18166832
2023-12-14,65.4,24764789
2023-12-15,64.71,8688591
2023-12-18,63.81,10456653
2023-12-19,65.25,15984323
2023-12-20,65.51,3869698
2023-12-21,65.09,6007848
2023-12-22,66.07,10877885
2023-12-25,66.57,6750088
2023-12-26,62.08,45223119
2023-12-27,63.68,18164383
2023-12-28,63.14,7274999
2023-12-29,62.79,5516153
2024-01-01,63.91,12702278
2024-01-02,62.28,18218666
2024-01-03,65.03,28169911
2024-01-04,66.58,16560626
2024-01-05,67.4,9613980
2024-01-08,67.82,6002653
2024-01-09,69.08,13650372
2024-01-10,67.81,13500475
2024-01-11,69.01,12845901
2024-01-12,67.74,13262608
2024-01-15,67.05,8450579
2024-01-16,69.44,23464379
2024-01-17,66.49,28975138
2024-01-18,68.7,21981311
2024-01-19,70.62,19122535
2024-01-22,69.21,14175796
2024-01-23,68.99,4186826
2024-01-24,68.4,6868195
2024-01-25,66.6,18320293
2024-01-26,67.66,12007891
2024-01-29,67.99,4842753
2024-01-30,65.9,20911179
2024-01-31,64.73,13442374
2024-02-01,67.39,26892253
2024-02-02,71.18,35972456
2024-02-05,74.84,33331382
2024-02-06,74.67,3491707
2024-02-07,75.36,7114793
2024-02-08,75.08,4361545
2024-02-09,71.6,31073166
2024-02-12,71.44,3223921
2024-02-13,71.08,5174573
2024-02-14,72.24,11528326
2024-02-15,71.02,12155383
2024-02-16,73.41,22399113
2024-02-19,75.62,20316317
2024-02-20,73.43,20352754
2024-02-21,73.47,2502624
2024-02-22,73.89,5209757
2024-02-23,72.03,18001595
2024-02-26,70.82,12414488
2024-02-27,70.12,7945551
2024-02-28,72.43,22262741
2024-02-29,73.71,12888203
2024-03-01,75.56,17280943
2024-03-04,75.05,6162656
2024-03-05,75.31,3607545
2024-03-06,74.62,7774872
2024-03-07,71.63,26917992
2024-03-08,69.41,21367721
2024-03-11,70.97,16265730
2024-03-12,72.41,14450184
2024-03-13,69.73,25304638
2024-03-14,68.25,14916071
2024-03-15,66.98,13098648
2024-03-18,69.19,21843351
2024-03-19,71.84,25284436
2024-03-20,71.1,8404891
2024-03-21,72.7,15615085
2024-03-22,73.06,4902417
2024-03-25,73.69,7096162
2024-03-26,73.42,4130962
2024-03-27,73.66,3811027
2024-03-28,73.84,3787596
2024-03-29,72.65,12241549
2024-04-01,75.3,24210822
2024-04-02,73.2,19895200
2024-04-03,79.78,54727547
2024-04-04,82.62,23911055
2024-04-05,81.61,9580353
2024-04-08,78.61,24852954
2024-04-09,84.0,43133474
2024-04-10,83.26,7127462
2024-04-11,87.82,35208802
2024-04-12,91.91,30417582
2024-04-15,99.27,49209086
2024-04-16,100.79,11262051
2024-04-17,101.04,3415247
2024-04-18,100.15,7551429
2024-04-19,94.67,37409035
2024-04-22,94.35,4131367
2024-04-23,92.98,10929664
2024-04-24,95.41,17503259
2024-04-25,95.81,4223408
2024-04-26,92.86,20977580
2024-04-29,91.24,12240736
2024-04-30,94.05,20516279
2024-05-01,93.66,4501007
2024-05-02,91.38,17651151
2024-05-03,91.81,4564299
2024-05-06,87.74,30009772
2024-05-07,86.33,12119815
2024-05-08,85.86,5137993
2024-05-09,88.05,17554262
2024-05-10,92.31,31311149
2024-05-13,88.83,26089094
2024-05-14,86.12,20562706
2024-05-15,83.87,18627053
2024-05-16,85.55,14514159
2024-05-17,85.6,2683120
2024-05-20,88.82,24670210
2024-05-21,87.96,7782982
2024-05-22,84.62,25869085
2024-05-23,81.13,28012081
2024-05-24,80.23,8917947
2024-05-27,81.82,13892299
2024-05-28,85.85,31557188
2024-05-29,86.3,5296761
2024-05-30,86.12,2983120
2024-05-31,85.17,8789372
2024-06-03,88.01,22304907
2024-06-04,90.15,16955846
2024-06-05,90.98,7352121
2024-06-06,87.66,24840583
2024-06-07,87.03,6697408
2024-06-10,82.37,35610574
2024-06-11,78.68,30388650
2024-06-12,78.18,5411069
2024-06-13,78.59,4918973
2024-06-14,80.18,14374076
2024-06-17,78.83,12010224
2024-06-18,77.94,9240230
2024-06-19,81.15,26988785
2024-06-20,79.59,13489804
2024-06-21,76.5,26591476
2024-06-24,75.85,6760463
2024-06-25,74.09,16405633
2024-06-26,69.43,42565219
2024-06-27,68.09,14378402
2024-06-28,67.57,6351853
2024-07-01,66.63,10870529
2024-07-02,64.49,22104396
2024-07-03,65.06,7699464
2024-07-04,66.12,11249043
2024-07-05,63.2,29803065
2024-07-08,65.82,26545873
2024-07-09,65.39,5859354
2024-07-10,68.45,29509326
2024-07-11,71.81,32045743
2024-07-12,73.43,16394701
2024-07-15,78.07,40124786
2024-07-16,74.24,32813641
2024-07-17,76.68,22447376
2024-07-18,76.82,3062522
2024-07-19,72.05,40907800
2024-07-22,72.16,2694716
2024-07-23,71.49,7629436
2024-07-24,72.79,13246424
2024-07-25,76.0,28224986
2024-07-26,80.41,36797640
2024-07-29,80.37,2464583
2024-07-30,81.87,13613379
2024-07-31,82.14,4214433
2024-08-01,82.03,2861646
2024-08-02,83.5,12589124
2024-08-05,83.4,2478782
2024-08-06,80.92,20330986
2024-08-07,79.16,15881915
2024-08-08,78.9,4044795
2024-08-09,77.16,15692985
2024-08-12,77.23,2336163
2024-08-13,76.06,11724605
2024-08-14,73.74,20517751
2024-08-15,73.25,6045328
2024-08-16,73.03,3560329
2024-08-19,72.18,8423368
2024-08-20,73.01,9860098
2024-08-21,75.02,18299901
2024-08-22,78.19,27819195
2024-08-23,75.21,26164833
2024-08-26,76.96,15832923
2024-08-27,73.93,26764319
2024-08-28,72.71,12237862
2024-08-29,70.07,24678730
2024-08-30,73.96,35579857
2024-09-02,73.96,1313718
2024-09-03,69.48,40504779
2024-09-04,71.53,20469072
2024-09-05,70.77,8506056
2024-09-06,70.08,8394014
2024-09-09,71.83,17251546
2024-09-10,74.09,21039445
2024-09-11,74.22,3118755
2024-09-12,76.35,19540165
2024-09-13,74.12,19853855
2024-09-16,74.39,4227316
2024-09-17,71.06,30301071
2024-09-18,72.0,10030910
2024-09-19,68.49,32443040
2024-09-20,68.3,3450730
2024-09-23,69.28,10389945
2024-09-24,69.2,3279028
2024-09-25,68.69,6319545
2024-09-26,70.25,15523159
2024-09-27,69.11,12263499
2024-09-30,70.32,12575763
2024-10-01,69.8,7164155
2024-10-02,70.7,10126448
2024-10-03,71.63,10196868
2024-10-04,69.06,24458467
2024-10-07,71.27,21319877
2024-10-08,72.8,15186984
2024-10-09,73.19,5369565
2024-10-10,74.71,14731308
2024-10-11,72.26,22375277
2024-10-14,71.43,9404621
2024-10-15,72.61,12321483
2024-10-16,77.87,45420199
2024-10-17,78.83,9346930
2024-10-18,79.41,6292404
2024-10-21,76.78,22756643
2024-10-22,77.03,3928260
2024-10-23,75.07,17431429
2024-10-24,77.94,24650134
2024-10-25,76.04,16960951
2024-10-28,72.88,27938033
2024-10-29,79.07,52256733
2024-10-30,76.7,20946297
2024-10-31,77.85,11281205
2024-11-01,76.89,9872242
2024-11-04,79.42,22130715
2024-11-05,80.95,13999929
2024-11-06,80.8,3033933
2024-11-07,84.16,27241843
2024-11-08,85.22,9611403
2024-11-11,82.24,24428864
2024-11-12,83.26,9752195
2024-11-13,82.19,10655565
2024-11-14,80.7,13914773
2024-11-15,85.16,34907520
2024-11-18,86.92,14655048
2024-11-19,83.13,29925892
2024-11-20,85.53,19149471
2024-11-21,88.2,21043302
2024-11-22,89.42,10226117
2024-11-25,88.25,9991150
